z, km;Etalon;J_b2;O2;N2;O3;Tg ;Nb2
120;1.18E+11;7.94E-12;3.06E+10;2.53E+11;2.18E+04;404.1;0.1665631184856330
115;1.85E+11;7.94E-12;7.27E+10;5.14E+11;4.19E+04;311.7;0.2571958055570430
110;2.91E+11;7.94E-12;1.85E+11;1.12E+12;8.66E+04;260.1;0.4175108078247740
105;4.16E+11;7.93E-12;4.36E+11;2.31E+12;1.65E+05;236.4;0.6758186267994920
100;6.55E+11;7.93E-12;1.51E+12;7.13E+12;6.93E+06;175.3;1.4883665591149200
95;6.13E+11;7.92E-12;4.00E+12;1.74E+13;1.64E+07;186.2;3.4722210732518500
90;1.46E+11;7.90E-12;1.05E+13;4.35E+13;8.64E+07;179.7;11.6315589652820000
85;3.09E+10;7.87E-12;2.84E+13;1.13E+14;5.32E+07;176.3;15.6422806234041000
80;1.01E+10;7.81E-12;6.63E+13;2.58E+14;1.02E+08;191;12.7841040995642000
75;7.59E+09;7.70E-12;1.48E+14;5.69E+14;2.68E+08;198.9;11.3557224275723000
70;4.56E+09;7.50E-12;3.33E+14;1.26E+15;6.39E+08;203.5;10.4426712751469000
65;6.04E+09;7.08E-12;6.79E+14;2.55E+15;2.51E+09;221.5;7.9519302534750800
60;6.38E+09;6.45E-12;1.32E+15;4.90E+15;9.13E+09;238;6.1008910060597500
55;6.07E+09;5.51E-12;2.46E+15;9.15E+15;2.34E+10;251.6;4.5873226239273100
50;4.43E+09;4.12E-12;4.65E+15;1.73E+16;7.26E+10;257.3;3.2623847028496600
