"","height","size","mean","sd","variation","fraction"
"1",120,20,118110710797.642,1152743366.8439,0.00975985462333629,1.00093822709866
"2",120,40,117966099107.15,1060966470.56949,0.00899382516332768,0.999712704297883
"3",120,60,117919812726.84,1032816085.03331,0.00875863064187365,0.99932044683763
"4",120,80,117800817755.627,1066268274.51232,0.00905145053172928,0.998312014878198
"5",120,100,117824306594.7,1013805226.95863,0.00860438101660964,0.998511072836445
"6",120,120,117800966460.108,1045991231.8301,0.00887930942556667,0.998313275085661
"7",120,140,117816774612.489,1042242281.07424,0.00884629785955592,0.998447242478719
"8",120,160,117819925576.802,1025880598.52136,0.00870719102476962,0.998473945566119
"9",120,180,117804700978.134,1053678493.75585,0.00894428223158453,0.998344923543507
"10",120,200,117839414994.243,1064076218.25766,0.00902988374738318,0.998639110120707
"11",120,250,117822133875.259,1050197324.17979,0.00891341286766768,0.998492659959819
"12",120,300,117863588593.296,1056263316.81911,0.00896174407572033,0.998843971129627
"13",120,350,117847753954.525,1074486194.00903,0.00911757889270981,0.998709779275634
"14",120,400,117853756415.492,1066439131.92866,0.00904883445690902,0.998760647588912
"15",120,450,117861419049.347,1062584879.71821,0.0090155445971113,0.998825585163955
"16",120,500,117859887948.164,1076519442.42854,0.00913389161630637,0.998812609730204
"17",120,550,117858811776.49,1097528144.9614,0.00931222815178868,0.998803489631273
"18",120,600,117869377365.244,1104995489.3091,0.00937474613007435,0.998893028519019
"19",120,650,117851658103.605,1093447026.1703,0.00927816412399589,0.998742865284791
"20",120,700,117850695410.316,1099205092.10474,0.0093270989049125,0.998734706867089
"21",120,750,117853891355.613,1090783088.15143,0.00925538457495728,0.998761791149259
"22",120,800,117863619536.907,1097033492.22048,0.00930765147490624,0.998844233363618
"23",120,850,117885637745.941,1095883309.55203,0.00929615626217165,0.999030828355432
"24",120,900,117883999397.701,1101976017.63266,0.00934796938738872,0.999016944048316
"25",120,950,117891067286.762,1112960263.65031,0.00944058179525268,0.999076841413235
