"","height","size","mean","sd","variation","fraction"
"1",120,20,-2807898.31568059,885307.697612037,-0.315291936559124,-18972.2859167608
"2",120,40,-2799999.25882848,954646.112935379,-0.340945130583643,-18918.9139110032
"3",120,60,-2795082.30003738,935651.461732097,-0.334749163457399,-18885.6912164688
"4",120,80,-2789852.7651956,918938.867851331,-0.329386152314351,-18850.3565215919
"5",120,100,-2705547.36897486,952895.90789175,-0.352200785252858,-18280.7254660464
"6",120,120,-2684629.63601973,933165.753639866,-0.34759571343457,-18139.3894325657
"7",120,140,-2719376.07065056,945062.738639391,-0.347529254537164,-18374.1626395308
"8",120,160,-2708311.43788008,934952.928572636,-0.345216179903027,-18299.4016072979
"9",120,180,-2719176.84249722,923070.478380046,-0.339466879812173,-18372.8165033596
"10",120,200,-2717501.15343881,928135.1298934,-0.341539921232015,-18361.494279992
"11",120,250,-2710105.08534215,922077.273185041,-0.340236722986197,-18311.5208469064
"12",120,300,-2716372.59313617,923089.081763408,-0.339824177322324,-18353.8688725417
"13",120,350,-2734734.41285734,952067.64858874,-0.348138979826559,-18477.9352220091
"14",120,400,-2722549.08827322,956583.04045126,-0.351355663180338,-18395.601947792
"15",120,450,-2736226.12406369,968774.53962747,-0.354054999733977,-18488.0143517817
"16",120,500,-2744005.02831602,972620.025350924,-0.354452712482024,-18540.5745156488
"17",120,550,-2749118.2593807,981825.99035219,-0.357142144395552,-18575.1233741939
"18",120,600,-2770843.64922005,983696.258328028,-0.355016876756985,-18721.9165487841
"19",120,650,-2795960.28387991,986804.427132748,-0.352939357837865,-18891.6235397291
"20",120,700,-2791586.13081491,975821.51950243,-0.349558091269629,-18862.0684514521
"21",120,750,-2789732.46492791,982235.085610023,-0.352089348336636,-18849.5436819453
"22",120,800,-2785338.27351139,978154.937944205,-0.351179943652257,-18819.8531994013
"23",120,850,-2781289.8674726,987816.642693348,-0.355164937767164,-18792.4991045446
"24",120,900,-2770894.99649475,985643.238995731,-0.355712952039898,-18722.2634898294
"25",120,950,-2778725.97601987,982847.603275905,-0.353704399698921,-18775.1755136478
"26",120,1000,-2782612.37950993,979151.968885186,-0.351882272965965,-18801.4349966887
"27",115,20,-4030171.89350852,1824983.23511028,-0.452830123213807,-1995.13460074679
"28",115,40,-4058227.14733513,2243669.23144762,-0.552869307209909,-2009.02334026492
"29",115,60,-4197519.77273067,2294557.34677044,-0.546645988823474,-2077.98008551023
"30",115,80,-4243524.96783553,2464844.11506124,-0.580848265002309,-2100.75493457204
"31",115,100,-4090500.25288335,2378536.77437116,-0.581478212278449,-2025.00012518978
"32",115,120,-4035547.10413889,2297490.18045304,-0.569313186332706,-1997.79559610836
"33",115,140,-4037228.01512901,2282023.81558876,-0.565245214547497,-1998.62773026188
"34",115,160,-4117666.77345305,2227009.85035169,-0.540842659903763,-2038.44889774904
"35",115,180,-4149256.89415988,2205984.31807386,-0.531657685784363,-2054.08757136628
"36",115,200,-4158313.24258267,2201359.89701569,-0.529387703281454,-2058.57091216964
"37",115,250,-4190189.76429088,2116470.5581333,-0.505101362274812,-2074.35136846083
