"","height","size","mean","sd","variation","fraction"
"1",120,20,-3025758.5845099,857350.41206751,-0.283350567509463,-20444.314760202
"2",120,40,-3070636.00502529,825128.017921251,-0.268715672118374,-20747.5405744952
"3",120,60,-2946985.9451556,819599.252010057,-0.27811440816586,-19912.0671969973
"4",120,80,-2864926.19581551,811638.327738818,-0.283301653258744,-19357.6094311859
"5",120,100,-2848183.89073707,892064.905869707,-0.313204814046909,-19244.4857482234
"6",120,120,-2831629.2336785,856349.453159773,-0.30242287477987,-19132.6299572872
"7",120,140,-2812192.52365159,855831.381584812,-0.30432887307215,-19001.3008354837
"8",120,160,-2778555.38533622,835918.05816659,-0.300846282416444,-18774.0228738934
"9",120,180,-2759081.09190293,827599.663320067,-0.299954816749976,-18642.4398101549
"10",120,200,-2790192.05785321,840688.145696391,-0.301301175067934,-18852.6490395487
"11",120,250,-2822460.86198562,880761.479706901,-0.312054452754141,-19070.6814999028
"12",120,300,-2844364.65143518,884076.305987097,-0.310816795427766,-19218.6800772647
"13",120,350,-2824815.6819665,913961.369442755,-0.323547258420238,-19086.5924457196
"14",120,400,-2821392.57340982,929101.325877602,-0.329305937299867,-19063.4633338501
"15",120,450,-2794060.71287738,938400.409263979,-0.335855411064992,-18878.7886005229
"16",120,500,-2786764.66589011,937858.59456925,-0.336540292062908,-18829.490985744
"17",120,550,-2784530.34687452,935741.248850226,-0.336049937433988,-18814.3942356387
"18",120,600,-2785560.25508091,946433.325004739,-0.339764082747242,-18821.353074871
"19",120,650,-2792921.09639572,942607.390381057,-0.337498754117149,-18871.0884891603
"20",120,700,-2803262.36383798,936169.312130623,-0.333957079511067,-18940.9619178242
"21",120,750,-2804855.00642551,931448.190045527,-0.332084256730461,-18951.7230163886
"22",120,800,-2800681.50443461,943214.422691521,-0.33678032335988,-18923.5236786122
"23",120,850,-2795400.50684584,939370.013056322,-0.336041297394001,-18887.8412624719
"24",120,900,-2795908.23559917,937036.690127911,-0.335145724096736,-18891.2718621566
"25",120,950,-2803030.92308554,940481.552835644,-0.335523074358514,-18939.3981289564
