"","height","size","mean","sd","variation","fraction"
"1",120,20,-2404078.19002993,1371217.11895779,-0.570371265229404,-16243.7715542563
"2",120,40,-2347387.60497601,1202657.70659262,-0.512338782075537,-15860.7270606487
"3",120,60,-2514646.36770085,1215364.83288247,-0.483314412910346,-16990.8538358165
"4",120,80,-2416659.62453634,1158651.0344468,-0.479443204447585,-16328.7812468671
"5",120,100,-2440180.84584146,1185944.98714557,-0.486007006065413,-16487.7084178477
"6",120,120,-2460450.13486838,1195178.81667934,-0.485756162964578,-16624.663073435
"7",120,140,-2559697.70606063,1181928.72638891,-0.461745433294894,-17295.25477068
"8",120,160,-2521327.92642189,1153246.5972774,-0.457396511255884,-17035.9995028506
"9",120,180,-2553497.54085516,1149721.73468619,-0.450253707431082,-17253.3617625349
"10",120,200,-2560848.57825186,1134675.04978004,-0.443085569141545,-17303.0309341342
"11",120,250,-2635004.11488494,1124065.08977739,-0.426589500725116,-17804.0818573307
"12",120,300,-2678090.28504358,1132136.10192905,-0.422740080217506,-18095.2046286728
"13",120,350,-2725608.29021452,1136682.08403673,-0.417037946398111,-18416.2722311792
"14",120,400,-2761737.17786888,1131436.36270797,-0.409682851711853,-18660.3863369519
"15",120,450,-2757533.13338118,1127654.22466888,-0.408935874973947,-18631.9806309539
"16",120,500,-2750306.17557226,1128943.7009554,-0.410479280809708,-18583.1498349477
"17",120,550,-2752929.89322709,1129001.25403606,-0.410108974011175,-18600.8776569398
"18",120,600,-2752626.65594184,1123045.36339681,-0.407990441047498,-18598.8287563638
"19",120,650,-2753245.47868852,1124990.47598749,-0.408605220528092,-18603.0099911386
"20",120,700,-2766170.46811885,1126358.3493027,-0.407190504809591,-18690.341000803
"21",120,750,-2769304.96478587,1131261.97018391,-0.408500322127356,-18711.520032337
"22",120,800,-2768056.09010463,1133367.88739022,-0.409445419636487,-18703.0816898961
"23",120,850,-2766864.90742763,1131847.86695915,-0.409072327283025,-18695.0331582948
