"","height","size","mean","sd","variation","fraction"
"1",120,20,-2810372.34567534,1041306.05532874,-0.370522452987813,-18989.0023356442
"2",120,40,-2787621.09765251,983785.349911994,-0.352912148189886,-18835.2776868413
"3",120,60,-2689829.77056764,1066610.1887703,-0.396534457474313,-18174.5254768084
"4",120,80,-2754142.17301476,1037994.63473191,-0.376884913532148,-18609.0687365862
"5",120,100,-2729303.26241355,1071449.12641048,-0.392572397932425,-18441.238259551
"6",120,120,-2699857.26622878,1010106.13507824,-0.37413316167235,-18242.2788258702
"7",120,140,-2693076.61925697,989694.690950878,-0.367495927844763,-18196.4636436282
"8",120,160,-2690511.05111299,997157.912710756,-0.370620262755754,-18179.1287237364
"9",120,180,-2683826.50355484,1005265.52413328,-0.374564273361844,-18133.962861857
"10",120,200,-2681177.32263101,985438.634981802,-0.367539523277335,-18116.0629907501
"11",120,250,-2781091.73323519,994135.351950786,-0.357462265652894,-18791.1603596972
"12",120,300,-2802518.52786647,958444.018238477,-0.341993820454109,-18935.9359990978
"13",120,350,-2804414.13132596,962446.177940003,-0.343189747615822,-18948.7441305808
"14",120,400,-2828036.59602164,950845.220444266,-0.336220974573623,-19108.3553785246
"15",120,450,-2812326.66560503,962872.165162548,-0.342375648226982,-19002.207200034
"16",120,500,-2801219.55017232,979711.113749978,-0.349744493854368,-18927.159122786
"17",120,550,-2803616.43257846,982374.351795225,-0.350395417996514,-18943.3542741788
"18",120,600,-2802683.24372342,981945.409278451,-0.350359039494566,-18937.0489440772
"19",120,650,-2808919.08593686,985042.709940538,-0.350683903595605,-18979.1830130869
"20",120,700,-2805118.44200082,981979.35050552,-0.350066983198434,-18953.502986492
"21",120,750,-2807118.57244113,991416.878628678,-0.353179551573598,-18967.017381359
"22",120,800,-2816408.33439142,986271.280364249,-0.350187601819239,-19029.7860431853
"23",120,850,-2806955.28912347,989081.368577319,-0.352368052462346,-18965.9141156991
"24",120,900,-2809309.07996047,997527.08092195,-0.355079150257111,-18981.818107841
"25",120,950,-2802751.78733608,997734.07681539,-0.35598374473385,-18937.5120765952
"26",120,1000,-2808921.20816342,989772.073243633,-0.352367332471666,-18979.1973524555
"27",115,20,-3420190.66728386,2126976.16197661,-0.621888183697591,-1693.16369667518
"28",115,40,-3815347.48904452,1939075.25779851,-0.50823031542118,-1888.78588566561
"29",115,60,-3623762.27150488,2003468.93864798,-0.552869859704119,-1793.94171856677
"30",115,80,-3727540.49859266,1949854.36357421,-0.52309407887329,-1845.31707851122
"31",115,100,-3678627.99429489,1941627.35589993,-0.527812912561739,-1821.10296747272
"32",115,120,-3734424.28055516,2037011.32791708,-0.545468638505706,-1848.72489136394
"33",115,140,-3869794.63646595,2035966.79157105,-0.526117528921477,-1915.73991904255
"34",115,160,-3837167.41091998,2048204.1695724,-0.533780247310433,-1899.58782718811
"35",115,180,-3864971.98621307,1991857.50964023,-0.515361435152824,-1913.35246842231
"36",115,200,-3906649.39742234,2031589.64222731,-0.520033777171759,-1933.98485020908
"37",115,250,-3796743.3303261,2110862.53573164,-0.555966614564471,-1879.57590610203
"38",115,300,-3805645.03095454,2096858.8240914,-0.550986444357228,-1883.98268859136
"39",115,350,-3870191.91458605,2056030.27193456,-0.531247627329735,-1915.93659137923
