"","height","size","mean","sd","variation","fraction"
"1",120,20,-2715567.72230997,944684.262150123,-0.347877261314086,-18348.4305561484
"2",120,40,-2838930.62402049,1064402.38498463,-0.374930748916022,-19181.9636758142
"3",120,60,-2792959.32372539,1034718.18088731,-0.370473773856164,-18871.3467819283
"4",120,80,-2886415.02245744,987865.204044178,-0.342246418605156,-19502.8042057935
"5",120,100,-2773484.82262863,1110802.85636012,-0.400507998925096,-18739.7623150583
"6",120,120,-2760202.62098916,1182028.25724334,-0.428239669165934,-18650.0177093862
"7",120,140,-2765964.92806084,1211957.67392872,-0.438168127742094,-18688.9522166273
"8",120,160,-2769970.24453268,1226114.22118338,-0.442645267978406,-18716.0151657614
"9",120,180,-2767112.55557631,1229496.04363054,-0.444324550930479,-18696.7064565967
"10",120,200,-2778283.78148591,1222302.40976336,-0.439948725867604,-18772.1877127426
"11",120,250,-2717849.19745287,1222841.83662219,-0.44992998057737,-18363.8459287356
"12",120,300,-2700148.81366352,1225471.33264179,-0.453853256694799,-18244.2487409697
"13",120,350,-2680378.35837821,1214928.17878145,-0.453267418379154,-18110.6645836366
"14",120,400,-2685283.38600166,1212661.55910077,-0.451595375528094,-18143.8066621734
"15",120,450,-2704880.49464015,1202334.53127377,-0.444505601506704,-18276.2195583794
"16",120,500,-2714681.28431109,1193014.0163468,-0.439467433337964,-18342.4411102101
"17",120,550,-2718783.8365793,1183981.23426236,-0.435481930682657,-18370.1610579683
"18",120,600,-2726654.59413301,1178884.1813069,-0.432355526014745,-18423.3418522501
"19",120,650,-2726044.54983199,1184396.04823289,-0.434474208539948,-18419.2199312972
"20",120,700,-2729906.3621074,1191115.76773342,-0.436321107663896,-18445.3132574825
"21",120,750,-2747405.32682432,1189248.01008013,-0.432862234949061,-18563.5495055697
"22",120,800,-2755141.45651088,1181369.21726948,-0.428787137037084,-18615.8206521006
"23",120,850,-2750545.8012371,1185315.86547162,-0.430938421362956,-18584.7689272777
"24",120,900,-2751259.98272495,1186124.97647197,-0.431120644330088,-18589.5944778713
"25",120,950,-2759837.14035122,1183877.54746409,-0.428966452460099,-18647.5482456164
"26",120,1000,-2767567.20560283,1177117.41252379,-0.425325683199585,-18699.7784162353
"27",115,20,-4421853.65208741,2538588.15861219,-0.574100447085989,-2189.03646142941
"28",115,40,-4420384.49083046,2706839.76110369,-0.612353917791246,-2188.30915387646
"29",115,60,-4153465.30410353,2934795.98784196,-0.706589744458068,-2056.17094262551
"30",115,80,-4160101.28767499,3036821.36686131,-0.729987362533314,-2059.45608300742
"31",115,100,-4214372.73535373,3011330.76716486,-0.714538308845647,-2086.32313631373
"32",115,120,-4079871.80117209,3004662.0535406,-0.736459918342876,-2019.73851543173
"33",115,140,-4085179.38675244,2940806.14465463,-0.719871972866399,-2022.36603304576
"34",115,160,-4066747.62228676,2879867.38675979,-0.708150014271214,-2013.24139717166
"35",115,180,-3978778.87726427,2955127.16552782,-0.742722140809118,-1969.69251349716
"36",115,200,-3967522.14260804,2885640.76393891,-0.72731560410197,-1964.11987257824
"37",115,250,-3975806.85625058,2926673.07103185,-0.736120535239449,-1968.22121596563
"38",115,300,-4019366.80970484,2884795.61473992,-0.717723898145978,-1989.78554935883
"39",115,350,-3924195.80541535,2846280.19219613,-0.725315538095293,-1942.67119079968
"40",115,400,-3978153.83660758,2789241.33387701,-0.701139636232762,-1969.38308742949
"41",115,450,-3985978.48000704,2756665.993709,-0.691590786938753,-1973.25667327081
"42",115,500,-4027543.30249539,2700222.36349092,-0.670439064383965,-1993.83331806703
"43",115,550,-3984736.61089234,2658191.19355331,-0.667093324634583,-1972.64188658036
"44",115,600,-3960067.97879398,2669753.75867665,-0.674168669066563,-1960.42969247227
"45",115,650,-4002421.15252234,2669256.33529203,-0.666910410867147,-1981.39661015958
"46",115,700,-4024253.83684896,2662122.23196159,-0.661519461716177,-1992.20486972721
"47",115,750,-4001394.62893516,2627248.20731773,-0.656583129371792,-1980.88843016592
"48",115,800,-3997387.51621033,2644094.10062978,-0.661455535623545,-1978.90471099521
"49",115,850,-3988158.81297631,2659697.86399438,-0.666898684009397,-1974.33604602787
"50",115,900,-3989841.07206912,2662276.54517808,-0.667263807527411,-1975.16884755897
"51",115,950,-3990454.63178531,2645027.28029392,-0.662838579650896,-1975.47258999273
"52",115,1000,-3994635.17525218,2672085.0095695,-0.668918409902305,-1977.54216596643
"53",110,20,-4652351.80069753,4666542.89138627,-1.00305030472687,-134.461034702241
"54",110,40,-3383882.37591919,5533895.55408628,-1.63536876856811,-97.8000686681847
"55",110,60,-4013898.27038255,5144610.93222055,-1.28169938191539,-116.008620531287
"56",110,80,-3669662.07739897,4997496.63828296,-1.36184109950123,-106.059597612687
"57",110,100,-3582609.35945803,4803372.4116108,-1.3407469053052,-103.543623105723
"58",110,120,-3650305.43111508,4770629.22497353,-1.30691234336416,-105.500156968644
"59",110,140,-3727773.42635599,4750709.24000162,-1.27440933142913,-107.73911636867
"60",110,160,-3851928.60888219,4768132.6276789,-1.2378559188984,-111.327416441682
"61",110,180,-3920371.9743628,4743787.15526186,-1.21003496257084,-113.305548391988
